id,situacao,loja,pedido,valor do pedido,cidade,logistica,data,entrada,vendedor,tranferencia,faturamento,data/hora faturamento,unnamed: 13,responsavel,saida,entregue data,entregue hora,pedidos para entregar: 696,pgt entrega?,observação,veículo,recolheu,hora recolhida,valor_numerico
3808,NORMAL,HC,126010027,"R$ 269,55",IPAPORANGA,AGENDADA,2026-08-25,12:01:00,MASCILON,Transferido,Faturado,25/08/2026 12:01:48,,,,,,,,,,FELIPE,26/08/2026 09:03:30,269.55
3811,URGENTE,HC,126010046,"R$ 97,00",INDEPENDENCIA,ENTREGUE,2026-08-25,14:12:00,CAMILA,Transferido,Faturado,25/08/2026 14:16:17,,JULIO,,25/08/26,15:09,,,,KIA BONGO,FELIPE,27/08/2026 09:03:32,97.0
3812,NORMAL,NLC,8507393,"R$ 4.368,46",IPAPORANGA,ENTREGUE,2026-08-25,14:45:00,GEISI,Transferido,Faturado,25/08/2026 14:46:03,,VICTOR,,01/09/26,09:45,,,,(N) ACELLO 815 156 CV,,,4368.46
3814,NORMAL,NLC,8507395,"R$ 227,81",INDEPENDENCIA,AGENDADA,2026-08-25,15:07:00,GEISI,Transferido,Faturado,25/08/2026 15:25:06,,,,,,,,,,,,227.81
3839,NORMAL,NLC,8507407,"R$ 3.289,95",INDEPENDENCIA,AGENDADA,2026-08-26,11:35:00,GEISI,Transferido,Faturado,26/08/2026 14:21:42,,,,,,,,,,,,3289.95
3842,NORMAL,HC,126010120,"R$ 3.522,00",PORANGA,ENTREGUE,2026-08-26,12:18:00,MASCILON,Transferido,Faturado,26/08/2026 12:18:45,,VICTOR,,01/09/26,13:24,,,,(N) ACELLO 815 156 CV,FELIPE,27/08/2026 09:08:33,3522.0
3843,NORMAL,HC,126010125,"R$ 2.444,10",IPAPORANGA,ENTREGUE,2026-08-26,13:04:00,CAMILA,Transferido,Faturado,26/08/2026 13:04:14,,VICTOR,,01/09/26,11:21,,,,(N) ACELLO 815 156 CV,FELIPE,27/08/2026 09:08:16,2444.1
3851,NORMAL,HC,126010144,"R$ 1.134,30",TAMBORIL,AGENDADA,2026-08-26,15:24:00,MIKHAELL,Transferido,Faturado,26/08/2026 16:22:13,,,,,,,,,,FELIPE,27/08/2026 09:06:29,1134.3
3853,NORMAL,HC,126010149,"R$ 2.155,90",INDEPENDENCIA,ENTREGUE,2026-08-26,16:04:00,CAMILA,Transferido,Faturado,26/08/2026 16:04:53,,VICTOR,,28/08/26,10:33,,,,(N) ACELLO 815 156 CV,FELIPE,27/08/2026 09:06:47,2155.9
3863,NORMAL,HC,126010170,"R$ 919,00",IPAPORANGA,ENTREGUE,2026-08-27,08:49:00,CAMILA,Transferido,Faturado,27/08/2026 08:50:12,,,,,,,,,,FELIPE,27/08/2026 09:01:34,919.0
3868,CARRO HORARIO,HC,126010174,"R$ 458,00",IBIAPABA,ENTREGUE,2026-08-27,09:21:00,CAMILA,Transferido,Faturado,27/08/2026 09:23:29,,,,,,,,,,FELIPE,27/08/2026 10:49:07,458.0
3882,NORMAL,HC,126010220,"R$ 217,25",INDEPENDENCIA,ENTREGUE,2026-08-27,15:13:00,MIKHAELL,Transferido,Faturado,27/08/2026 15:17:14,,VICTOR,,28/08/26,12:56,,,,(N) ACELLO 815 156 CV,JULIO CEZAR,31/08/2026 09:48:39,217.25
3888,NORMAL,HC,126010234,"R$ 1.883,30",PORANGA,ENTREGUE,2026-08-27,17:51:00,MASCILON,Transferido,Faturado,27/08/2026 17:51:43,,,,,,,,,,FELIPE,31/08/2026 09:28:03,1883.3
3892,NORMAL,NLC,8507441,"R$ 1.788,02",SUCESSO,ENTREGUE,2026-08-28,09:58:00,GEISI,Transferido,Faturado,28/08/2026 10:37:27,,VICTOR,,11/09/26,09:42,,,,(N) ACELLO 815 156 CV,,,1788.02
3896,NORMAL,HC,126010252,"R$ 2.000,00",BARRA DOS SIMIOES,PARCIAL,2026-08-28,10:44:00,LEONARDO,Transferido,Faturado,28/08/2026 10:45:06,,FELIPE,,01/09/26,11:17,,,Argamassa na nota errada,KIA BONGO,JULIO CEZAR,01/09/2026 08:59:43,2000.0
3919,NORMAL,HC,126010329,"R$ 100,74",INDEPENDENCIA,ENTREGUE,2026-08-29,09:49:00,LIMA,Transferido,Faturado,29/08/2026 09:53:04,,,,,,,,,,FELIPE,31/08/2026 09:19:03,100.74
3922,NORMAL,HC,126010347,"R$ 2.379,64",NOVO ORIENTE,AGENDADA,2026-08-29,10:38:00,MASCILON,Transferido,Faturado,29/08/2026 10:42:13,,,,,,,,,,,,2379.64
3924,NORMAL,NLC,8507463,"R$ 3.780,00",PORANGA,ENTREGUE,2026-08-29,11:41:00,GEISI,Transferido,Faturado,29/08/2026 12:00:20,,VICTOR,,03/09/26,13:43,,,,(N) ACELLO 815 156 CV,,,3780.0
3925,NORMAL,HC,126010335,"R$ 2.312,92",ARARENDA,ENTREGUE,2026-08-29,09:31:00,MASCILON,Transferido,Faturado,31/08/2026 07:38:56,,,,,,,,,,FELIPE,31/08/2026 09:16:37,2312.92
